Nombre,Símbolo,Precio,Market Cap,Volumen 24h
CoinMarketCap 20 Index DTF,CMC20,148.92,8.24M,4523652
Bitcoin,BTC,72539.17,1.44T,72466154938
Ethereum,ETH,2109.85,253.53B,50720055172
Tether,USDT,0.9981,185.39B,149292721389
BNB,BNB,718.04,97.71B,3138954281
XRP,XRP,1.50,91.82B,4473412810
USDC,USDC,0.9996,70.78B,21550698817
Solana,SOL,90.31,51.17B,7239441353
TRON,TRX,0.2820,26.71B,854678109
Dogecoin,DOGE,0.1017,17.16B,1883503523
Bitcoin Cash,BCH,515.78,10.31B,637858165
Cardano,ADA,0.2831,10.21B,832834648
Hyperliquid,HYPE,33.82,8.81B,817146846
UNUS SED LEO,LEO,8.82,8.13B,2281444
Monero,XMR,375.53,6.93B,119758051
Canton,N/A,0.18,0,0
Ethena USDe,N/A,1.00,0,0
Chainlink,N/A,9.10,0,0
Stellar,N/A,0.17,0,0
Dai,N/A,1.00,0,0
World Liberty Financial USD,N/A,1.00,0,0
Litecoin,N/A,57.15,0,0
Zcash,N/A,258.25,0,0
Avalanche,N/A,9.59,0,0
Sui,N/A,1.06,0,0
Shiba Inu,N/A,0.00,0,0
Hedera,N/A,0.09,0,0
PayPal USD,N/A,1.00,0,0
World Liberty Financial,N/A,0.13,0,0
Toncoin,N/A,1.37,0,0
Cronos,N/A,0.08,0,0
Tether Gold,N/A,4893.57,0,0
Polkadot,N/A,1.43,0,0
Uniswap,N/A,3.68,0,0
PAX Gold,N/A,4922.39,0,0
Mantle,N/A,0.69,0,0
Bitget Token,N/A,2.97,0,0
Bittensor,N/A,185.31,0,0
MemeCore,N/A,1.48,0,0
Aave,N/A,120.25,0,0
OKB,N/A,80.52,0,0
Pepe,N/A,0.00,0,0
Global Dollar,N/A,1.00,0,0
Ripple USD,N/A,1.00,0,0
MYX Finance,N/A,5.84,0,0
NEAR Protocol,N/A,1.13,0,0
Ethereum Classic,N/A,9.18,0,0
Internet Computer,N/A,2.58,0,0
Aster,N/A,0.54,0,0
Sky,N/A,0.06,0,0
Pi,N/A,0.16,0,0
Ondo,N/A,0.27,0,0
KuCoin Token,N/A,8.76,0,0
Polygon (prev. MATIC),N/A,0.11,0,0
Worldcoin,N/A,0.40,0,0
Ethena,N/A,0.13,0,0
USDD,N/A,1.00,0,0
Cosmos,N/A,2.00,0,0
OFFICIAL TRUMP,N/A,4.10,0,0
Aptos,N/A,1.21,0,0
Algorand,N/A,0.10,0,0
GateToken,N/A,7.51,0,0
Kaspa,N/A,0.03,0,0
Flare,N/A,0.01,0,0
Midnight,N/A,0.05,0,0
Pump.fun,N/A,0.00,0,0
Quant,N/A,64.71,0,0
Filecoin,N/A,1.04,0,0
Render,N/A,1.49,0,0
United Stables,N/A,1.00,0,0
Arbitrum,N/A,0.13,0,0
VeChain,N/A,0.01,0,0
XDC Network,N/A,0.03,0,0
Jupiter,N/A,0.19,0,0
Bonk,N/A,0.00,0,0
Sei,N/A,0.08,0,0
Stacks,N/A,0.28,0,0
LayerZero,N/A,1.74,0,0
Dash,N/A,40.49,0,0
PancakeSwap,N/A,1.50,0,0
Tezos,N/A,0.46,0,0
TrueUSD,N/A,1.00,0,0
Nexo,N/A,0.75,0,0
Morpho,N/A,1.27,0,0
Story,N/A,1.31,0,0
Stable,N/A,0.03,0,0
Pudgy Penguins,N/A,0.01,0,0
Chiliz,N/A,0.04,0,0
First Digital USD,N/A,1.00,0,0
EURC,N/A,1.18,0,0
Optimism,N/A,0.22,0,0
Virtuals Protocol,N/A,0.62,0,0
Artificial Superintelligence Alliance,N/A,0.18,0,0
Curve DAO Token,N/A,0.27,0,0
Lighter,N/A,1.45,0,0
Kaia,N/A,0.06,0,0
DoubleZero,N/A,0.10,0,0
JUST,N/A,0.04,0,0
Injective,N/A,3.45,0,0
Sun [New],N/A,0.02,0,0
Immutable,N/A,0.17,0,0
Decred,DCR,19.76,341.13M,6934671
ether.fi,ETHFI,0.4862,340.06M,54329877
BitTorrent [New],BTT,0.063412,336.82M,29077223
Maple Finance,SYRUP,0.2897,335.28M,25444946
Lido DAO,LDO,0.3951,335.08M,52585048
AINFT,NFT,0.063364,333.13M,46621088
Aerodrome Finance,AERO,0.3536,323.71M,24726874
River,RIVER,16.47,322.98M,73252642
FLOKI,FLOKI,0.00003334,318.05M,67827990
IOTA,IOTA,0.07375,315.6M,17616316
Humanity Protocol,H,0.1295,312.38M,67971599
Celestia,TIA,0.3567,312.34M,38095483
The Graph,GRT,0.02842,304.24M,28868854
Gnosis,GNO,110.36,291.28M,6757183
JasmyCoin,JASMY,0.005801,286.88M,25465681
Trust Wallet Token,N/A,0.66,0,0
Starknet,N/A,0.05,0,0
Bitcoin SV,N/A,14.06,0,0
Conflux,N/A,0.05,0,0
SPX6900,N/A,0.30,0,0
Pyth Network,N/A,0.05,0,0
AB,N/A,0.00,0,0
Kite,N/A,0.15,0,0
Telcoin,N/A,0.00,0,0
Axie Infinity,N/A,1.53,0,0
The Sandbox,N/A,0.10,0,0
Ethereum Name Service,N/A,6.47,0,0
dogwifhat,N/A,0.24,0,0
Pendle,N/A,1.46,0,0
Sentient,N/A,0.03,0,0
Neo,N/A,3.06,0,0
Gala,N/A,0.00,0,0
Decentraland,N/A,0.11,0,0
Golem,N/A,0.21,0,0
Theta Network,N/A,0.21,0,0
Fartcoin,N/A,0.21,0,0
Onyxcoin,N/A,0.01,0,0
ZKsync,N/A,0.02,0,0
Terra Classic,N/A,0.00,0,0
Monad,N/A,0.02,0,0
Compound,N/A,19.08,0,0
Fluid,N/A,2.44,0,0
Convex Finance,N/A,1.90,0,0
Zebec Network,N/A,0.00,0,0
DeXe,N/A,2.15,0,0
Falcon Finance,N/A,0.08,0,0
pippin,N/A,0.18,0,0
Basic Attention Token,N/A,0.12,0,0
MX Token,N/A,1.90,0,0
Vision,N/A,0.05,0,0
OriginTrail,N/A,0.34,0,0
Raydium,N/A,0.64,0,0
BUILDon,N/A,0.17,0,0
eCash,N/A,0.00,0,0
Plasma,N/A,0.09,0,0
Helium,N/A,0.87,0,0
Lombard,N/A,0.71,0,0
Arweave,N/A,2.40,0,0
WEMIX,N/A,0.33,0,0
THORChain,N/A,0.43,0,0
1inch,N/A,0.11,0,0
Vaulta,N/A,0.09,0,0
Open Campus,N/A,0.17,0,0
Walrus,N/A,0.09,0,0
EigenCloud,N/A,0.24,0,0
DeepBook Protocol,N/A,0.03,0,0
SafePal,N/A,0.28,0,0
Sonic,N/A,0.05,0,0
MultiversX,N/A,4.61,0,0
Amp,N/A,0.00,0,0
币安人生,N/A,0.13,0,0
0G,N/A,0.59,0,0
Livepeer,N/A,2.53,0,0
AWE,N/A,0.06,0,0
Kamino,N/A,0.03,0,0
Jito,N/A,0.28,0,0
Beam,N/A,0.00,0,0
Wormhole,N/A,0.02,0,0
Official Melania Meme,N/A,0.12,0,0
Oasis,N/A,0.02,0,0
Gas,N/A,1.80,0,0
Horizen,N/A,6.55,0,0
ZORA,N/A,0.03,0,0
Meteora,N/A,0.23,0,0
Theta Fuel,N/A,0.02,0,0
Reserve Rights,N/A,0.00,0,0
FTX Token,N/A,0.33,0,0
Cheems (cheems.pet),N/A,0.00,0,0
Zilliqa,N/A,0.01,0,0
Qtum,N/A,1.03,0,0
Synthetix,N/A,0.32,0,0
Irys,N/A,0.05,0,0
ApeCoin,N/A,0.14,0,0
Aethir,N/A,0.01,0,0
dYdX,N/A,0.12,0,0
Dog (Bitcoin),N/A,0.00,0,0
Fogo,N/A,0.03,0,0
Ravencoin,N/A,0.01,0,0
Stargate Finance,N/A,0.15,0,0
YZY MONEY,N/A,0.33,0,0
Rain,RAIN,0.009448,3.21B,38239229
Falcon USD,USDf,0.9937,1.91B,5155558
Jupiter Perps LP,JLP,3.79,1.4B,52557620
Ondo US Dollar Yield,USDY,1.11,703.09M,1422347
Beldex,BDX,0.08032,610.93M,11904933
Usual USD,USD0,0.9981,583.48M,7278705
GHO,GHO,0.9997,523.89M,2011849
USDai,USDAI,0.9988,500.76M,2153681
Fasttoken,FTN,1.08,474.47M,12443189
